,Inventory,Type,Date,Due Date,Num,Name,Qty,Invoiced,Backordered,Amount,Open Balance,Month,Year
2907,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,09/18/2018,11/17/2018,A30363,P&J TRADING (MD),3.0,0.0,3.0,16.5,16.5,9,2018
2908,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,09/19/2018,11/18/2018,A30367,YOUNG'S TRADING (GA),12.0,0.0,12.0,66.0,66.0,9,2018
2909,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,09/24/2018,11/23/2018,A30386,"WURI, INC.",6.0,0.0,6.0,33.0,33.0,9,2018
2910,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,09/24/2018,10/24/2018,A30387,US IMPORT,6.0,0.0,6.0,33.0,33.0,9,2018
2911,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,09/24/2018,10/24/2018,A30401,DASO TRADING INC.,24.0,0.0,24.0,132.0,132.0,9,2018
2912,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,09/25/2018,10/25/2018,A30402,PRIME CK,3.0,0.0,3.0,16.5,16.5,9,2018
2913,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,09/26/2018,11/25/2018,A30409,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,9,2018
2914,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,09/27/2018,10/27/2018,A30413,"UNION SALES, INC.",24.0,0.0,24.0,132.0,132.0,9,2018
2915,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,09/28/2018,09/28/2018,A30417,EBS IMPORT&WHOLESALE (GA),1.0,0.0,1.0,5.5,5.5,9,2018
2916,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/01/2018,11/30/2018,A30425,"WURI, INC.",6.0,0.0,6.0,33.0,33.0,10,2018
2917,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/01/2018,10/31/2018,A30426,7 DOLLAR BEAUTY SUPPLY,24.0,0.0,24.0,132.0,132.0,10,2018
2918,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/02/2018,11/01/2018,A30431,US IMPORT,6.0,0.0,6.0,33.0,33.0,10,2018
2919,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/02/2018,12/01/2018,A30433,YOUNG'S TRADING (GA),6.0,0.0,6.0,33.0,33.0,10,2018
2920,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/05/2018,10/05/2018,A30445,EBS IMPORT&WHOLESALE (GA),2.0,0.0,2.0,11.0,11.0,10,2018
2921,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/05/2018,12/04/2018,A30448,P&J TRADING (MD),3.0,0.0,3.0,16.5,16.5,10,2018
2922,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/08/2018,12/07/2018,A30451,"WURI, INC.",6.0,0.0,6.0,33.0,33.0,10,2018
2923,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/08/2018,11/07/2018,A30454,KING J FASHION & BEAUTY,1.0,0.0,1.0,7.5,7.5,10,2018
2924,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/09/2018,11/08/2018,A30460,US IMPORT,6.0,0.0,6.0,33.0,33.0,10,2018
2925,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/09/2018,12/08/2018,A30463,YOUNG'S TRADING (GA),6.0,0.0,6.0,33.0,33.0,10,2018
2926,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/12/2018,12/11/2018,A30486,"WURI, INC.",6.0,0.0,6.0,33.0,33.0,10,2018
2927,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/15/2018,11/14/2018,A30488,PRIME CK,3.0,0.0,3.0,16.5,16.5,10,2018
2928,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/15/2018,12/14/2018,A30492,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,10,2018
2929,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/15/2018,12/14/2018,A30497,YOUNG'S TRADING (GA),6.0,0.0,6.0,33.0,33.0,10,2018
2930,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/16/2018,11/15/2018,A30499,US IMPORT,6.0,0.0,6.0,33.0,33.0,10,2018
2931,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/16/2018,10/16/2018,A30501,AMIRA,1.0,0.0,1.0,9.0,9.0,10,2018
2932,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/17/2018,11/16/2018,A30509,KING J FASHION & BEAUTY,1.0,0.0,1.0,7.5,7.5,10,2018
2933,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/19/2018,12/18/2018,A30521,"WURI, INC.",6.0,0.0,6.0,33.0,33.0,10,2018
