Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
K2022 (METALLIC DURAG : GOLD (DZ/24DZ)),1.00,24.00,0.0%,24.00,7.50,7.50,16.50,68.75%
K2030 (WOLFING DU-STRAP : ASST (DZ/12DZ)),241.00,"5,475.00",0.0%,22.72,"2,361.80",9.80,"3,113.20",56.86%
K213 (SPANDEX VISOR DOME CAP : RG.ASST (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K230 (VISOR DU-RAG : ASSORT (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K231 (VISOR DU-RAG : BLACK (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K233 (VISOR DU-RAG : TWO/TONE ASSORT (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K400 (DELUXE DURAG : ASSORT (DZ/36 DZ)),19.00,180.00,0.0%,9.47,86.26,4.54,93.74,52.08%
K401 (DELUXE DURAG : BLACK (DZ/36 DZ)),133.00,"1,204.00",0.0%,9.05,621.26,4.67,582.74,48.4%
K402 (DELUXE DURAG : WHITE (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K403 (SILKY DURAG : ASST (DZ/36 DZ)),144.00,"1,323.00",0.0%,9.19,563.81,3.92,759.19,57.38%
K404 (SILKY DURAG : BK (DZ/36 DZ)),267.00,"2,436.00",0.0%,9.12,"1,040.45",3.90,"1,395.55",57.29%
K405 (SILKY DURAG : WHT (DZ/36DZ)),6.00,63.00,0.0%,10.50,23.46,3.91,39.54,62.76%
K406 (SILKY DURAG : RED (DZ/36DZ)),6.00,63.00,0.0%,10.50,23.21,3.87,39.79,63.16%
K407 (SILKY DURAG : NAVY (DZ/36DZ)),5.00,51.00,0.0%,10.20,19.56,3.91,31.44,61.65%
K408 (SILKY DURAG : ROYAL (DZ/36DZ)),3.00,33.00,0.0%,11.00,11.67,3.89,21.33,64.64%
K409 (SILKY DURAG : SKY (DZ/36DZ)),6.00,63.00,0.0%,10.50,23.16,3.86,39.84,63.24%
K410 (SILKY DURAG : SILVER (DZ/36DZ)),2.00,24.00,0.0%,12.00,7.78,3.89,16.22,67.58%
K411 (SILKY DURAG : YELLOW (DZ/36DZ)),2.00,24.00,0.0%,12.00,7.76,3.88,16.24,67.67%
K412 (SILKY DURAG : ORANGE (DZ/36DZ)),2.00,18.00,0.0%,9.00,7.79,3.90,10.21,56.72%
K413 (SILKY DURAG : GREEN (DZ/36DZ)),1.00,12.00,0.0%,12.00,3.91,3.91,8.09,67.42%
K414 (SILKY DURAG : L/PINK (DZ/36DZ)),2.00,18.00,0.0%,9.00,7.73,3.87,10.27,57.06%
K415 (SILKY DURAG : PURPLE (DZ/36DZ)),1.00,12.00,0.0%,12.00,3.84,3.84,8.16,68.0%
K416 (SILKY DURAG : GOLD (DZ/36DZ)),4.00,39.00,0.0%,9.75,15.52,3.88,23.48,60.21%
K417 (SILKY CAMO DURAG : ASST. (DZ/24DZ)),62.00,846.00,0.0%,13.65,279.00,4.50,567.00,67.02%
K418 (SILKY CAMO DURAG : GREEN (DZ/24DZ)),3.00,40.50,0.0%,13.50,13.50,4.50,27.00,66.67%
K419 (SILKY CAMO DURAG : BLUE (DZ/24DZ)),6.00,81.00,0.0%,13.50,27.00,4.50,54.00,66.67%
K420 (SILKY CAMO DURAG : PINK (DZ/24DZ)),6.00,81.00,0.0%,13.50,27.00,4.50,54.00,66.67%
K422 (MAN MAGIC-RAG : WHITE (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K600 (BONUS DURAG : ASSORT (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K601 (BONUS DURAG : BLACK (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K602 (BONUS DURAG : WHITE (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K603 (BONUS DURAG : RED (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K604 (BONUS DURAG : NAVY (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K700 (SPANDEX STRETCH CAP : ASSORTED (DZ/48 DZ)),21.00,149.00,0.0%,7.10,56.70,2.70,92.30,61.95%
K701 (SPANDEX STRETCH CAP : BLACK (DZ/48 DZ)),84.00,602.00,0.0%,7.17,221.63,2.64,380.37,63.18%
K702 (SPANDEX STRETCH CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K703 (SPAN DREADLOCKS CAP : ASSORT (DZ/24 DZ)),230.00,"3,810.00",0.0%,16.57,"1,575.44",6.85,"2,234.56",58.65%
K704 (SPAN DREADLOCKS CAP : BLACK (DZ/24 DZ)),478.00,"8,008.50",0.0%,16.75,"3,273.87",6.85,"4,734.63",59.12%
K705 (SPAN DREADLOCKS CAP (XL) : ASSORT (DZ/24 DZ)),155.00,"3,291.00",0.0%,21.23,"1,263.12",8.15,"2,027.88",61.62%
K706 (SPAN DREADLOCKS CAP (XL) : BLACK (DZ/24 DZ)),524.00,"11,103.00",0.0%,21.19,"4,270.18",8.15,"6,832.82",61.54%
