Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
K2030 (WOLFING DU-STRAP : ASST (DZ/12DZ)),901.00,"20,737.50",0.0%,23.02,"8,829.80",9.80,"11,907.70",57.42%
K213 (SPANDEX VISOR DOME CAP : RG.ASST (DZ/24 DZ)),2.00,36.00,0.0%,18.00,16.40,8.20,19.60,54.44%
K230 (VISOR DU-RAG : ASSORT (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K231 (VISOR DU-RAG : BLACK (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K233 (VISOR DU-RAG : TWO/TONE ASSORT (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K400 (DELUXE DURAG : ASSORT (DZ/36 DZ)),107.00,999.00,0.0%,9.34,490.15,4.58,508.85,50.94%
K401 (DELUXE DURAG : BLACK (DZ/36 DZ)),272.00,"2,448.00",0.0%,9.00,"1,270.54",4.67,"1,177.46",48.1%
K402 (DELUXE DURAG : WHITE (DZ/36 DZ)),1.00,12.00,0.0%,12.00,0.00,0.00,12.00,100.0%
K403 (SILKY DURAG : ASST (DZ/36 DZ)),356.00,"3,222.00",0.0%,9.05,"1,393.85",3.92,"1,828.15",56.74%
K404 (SILKY DURAG : BK (DZ/36 DZ)),494.00,"4,461.00",0.0%,9.03,"1,927.84",3.90,"2,533.16",56.79%
K405 (SILKY DURAG : WHT (DZ/36DZ)),42.00,378.00,0.0%,9.00,164.29,3.91,213.71,56.54%
K406 (SILKY DURAG : RED (DZ/36DZ)),11.00,105.00,0.0%,9.55,42.53,3.87,62.47,59.5%
K407 (SILKY DURAG : NAVY (DZ/36DZ)),6.00,54.00,0.0%,9.00,23.48,3.91,30.52,56.52%
K408 (SILKY DURAG : ROYAL (DZ/36DZ)),6.00,54.00,0.0%,9.00,23.32,3.89,30.68,56.82%
K409 (SILKY DURAG : SKY (DZ/36DZ)),9.00,81.00,0.0%,9.00,34.75,3.86,46.25,57.1%
