MainCode,Description,Color,Size,Unit,OnHand,Price1,Bin#,MainCode2,Price2,Price3,Price4,Price5
W1199,"WIG CLIP BLISTER (2PC) : JB, BLONDE",BLONDE,J,DZ,136,$4.50 ,G13,,$6.00 ,$9.00 ,$0.00 ,$0.00 
W1200,"WIG CLIP BLISTER (2PC) : JB, BLACK",BLACK,J,DZ,83,$4.50 ,L8,,$6.00 ,$9.00 ,$0.00 ,$0.00 
W1201,"WIG CLIP BLISTER (2PC) : S, BLACK",BLACK,S,DZ,448,$4.00 ,L8,,$5.00 ,$9.00 ,$0.00 ,$0.00 
W1202,"WIG CLIP BLISTER (2PC) : M, BLACK",BLACK,M,DZ,613,$4.00 ,L8,,$5.00 ,$9.00 ,$0.00 ,$0.00 
W1203,"WIG CLIP BLISTER (2PC) : L, BLACK",BLACK,L,DZ,612,$4.00 ,L8,,$5.00 ,$9.00 ,$0.00 ,$0.00 
W1204,"WIG CLIP BLISTER (2PC) : S, BROWN",BROWN,S,DZ,397,$4.00 ,L8,,$5.00 ,$9.00 ,$0.00 ,$0.00 
W1205,"WIG CLIP BLISTER (2PC) : M, BROWN",BROWN,M,DZ,395,$4.00 ,L8,,$5.00 ,$9.00 ,$0.00 ,$0.00 
W1206,"WIG CLIP BLISTER (2PC) : L, BROWN",BROWN,L,DZ,480,$4.00 ,L7,,$5.00 ,$9.00 ,$0.00 ,$0.00 
W1207,"WIG CLIP BLISTER (2PC) : S, BLONDE",BLONDE,S,DZ,423,$4.00 ,L7,,$5.00 ,$9.00 ,$0.00 ,$0.00 
W1208,"WIG CLIP BLISTER (2PC) : M, BLONDE",BLONDE,M,DZ,455,$4.00 ,L7,,$5.00 ,$9.00 ,$0.00 ,$0.00 
W1209,"WIG CLIP BLISTER (2PC) : L, BLONDE",BLONDE,L,DZ,173,$4.00 ,L7,,$5.00 ,$9.00 ,$0.00 ,$0.00 
W1210,"WIG CLIP POLY (2PC/3DZ) : S, BLACK",BLACK,S/M/L,DP,0,$9.50 ,L10,,$12.50 ,$16.00 ,$0.00 ,$0.00 
W1211,"WIG CLIP POLY (2PC/3DZ) : S, BLACK",BLACK,S/M/L,DP,0,$9.50 ,L10,,$12.50 ,$16.00 ,$0.00 ,$0.00 
W1212,"WIG CLIP POLY (2PC/3DZ) : M, BLACK",BLACK,M,DP,0,$9.50 ,L10,,$12.50 ,$16.00 ,$0.00 ,$0.00 
W1213,"WIG CLIP POLY (2PC/3DZ) : L, BLACK",BLACK,L,DP,0,$9.50 ,L10,,$12.50 ,$16.00 ,$0.00 ,$0.00 
W1216,"WIG CLIP BLISTER (12PCS) : S, BLACK",BLACK,S,DZ,130,$18.00 ,G13,,$24.00 ,$36.00 ,$0.00 ,$0.00 
W1217,"WIG CLIP BLISTER (12PCS) : M, BLACK",BLACK,M,DZ,130,$18.00 ,G13,,$24.00 ,$36.00 ,$0.00 ,$0.00 
W1218,"WIG CLIP BLISTER (12PCS) : L, BLACK",BLACK,L,DZ,83,$18.00 ,G14,,$24.00 ,$36.00 ,$0.00 ,$0.00 
W1219,"WIG CLIP BLISTER (12PCS) : JB, BLACK",BLACK,J,DZ,114,$21.00 ,G14,,$27.00 ,$42.00 ,$0.00 ,$0.00 
W1220,"WIG CLIP POLY (2PC/3DZ) : S, BROWN",BROWN,S,DP,0,$9.50 ,L11,,$12.50 ,$16.00 ,$0.00 ,$0.00 
