,"Type","Date","Due Date","Num","Name","Qty","Invoiced","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,
"E1083 (ADHESIVE-STRIP LASH/CLEAR (7G))",,,,,,,,,,
,"Sales Order","08/17/2018","09/16/2018","A30235","7 DOLLAR BEAUTY SUPPLY",48,0,48,192.00,192.00
,"Sales Order","08/23/2018","09/22/2018","A30264","TEN TEN US TRADING, CORP.",6,0,6,24.00,24.00
,"Sales Order","08/24/2018","10/23/2018","A30272","WURI, INC.",6,0,6,24.00,24.00
,"Sales Order","08/27/2018","08/27/2018","A30274","HAIR CROWN BEAUTY SUPPLY",3,0,3,12.00,12.00
,"Sales Order","08/29/2018","08/29/2018","A30288","SUPREME BEAUTY SUPPLY",2,0,2,8.00,8.00
,"Sales Order","08/30/2018","09/29/2018","A30292","HAIR DEPOT PLUS(WARREN)",12,0,12,48.00,48.00
,"Sales Order","08/31/2018","10/30/2018","A30299","MISSION TRADING",6,0,6,24.00,24.00
,"Sales Order","09/04/2018","10/04/2018","A30305","7 DOLLAR BEAUTY SUPPLY",48,0,48,192.00,192.00
,"Sales Order","09/10/2018","10/10/2018","A30332","US TRADING (NC)",6,0,6,24.00,24.00
,"Sales Order","09/12/2018","10/12/2018","A30341","A-1 TRADING, INC. (GA)",6,4,2,24.00,8.00
,"Sales Order","09/13/2018","11/12/2018","A30348","MISSION TRADING",6,0,6,24.00,24.00
,"Sales Order","09/17/2018","10/17/2018","A30360","HAIR DEPOT PLUS(YOUNGSTOWN)",1,0,1,4.00,4.00
,"Sales Order","09/18/2018","09/18/2018","A30366","HAIR CROWN BEAUTY SUPPLY",4,0,4,16.00,16.00
,"Sales Order","09/20/2018","10/20/2018","A30378","TEN TEN US TRADING, CORP.",6,0,6,24.00,24.00
,"Sales Order","09/28/2018","09/28/2018","A30417","EBS IMPORT&WHOLESALE (GA)",1,0,1,4.00,4.00
,"Sales Order","10/01/2018","10/31/2018","A30420","EVERGREEN BEAUTY",2,0,2,11.00,11.00
,"Sales Order","10/01/2018","10/31/2018","A30426","7 DOLLAR BEAUTY SUPPLY",48,0,48,192.00,192.00
,"Sales Order","10/03/2018","11/02/2018","A30435","A-1 TRADING, INC. (GA)",6,0,6,24.00,24.00
,"Sales Order","10/05/2018","11/04/2018","A30449","MISSION TRADING",6,0,6,24.00,24.00
,"Sales Order","10/10/2018","11/09/2018","A30465","A-1 TRADING, INC. (GA)",6,0,6,24.00,24.00
,"Sales Order","10/24/2018","11/23/2018","A30540","7 DOLLAR BEAUTY SUPPLY",48,0,48,192.00,192.00
,"Sales Order","10/29/2018","11/28/2018","A30552","TEN TEN US TRADING, CORP.",6,5,1,24.00,4.00
,"Sales Order","05/20/2020","06/04/2020","A33649","BYESSENCE BEAUTY(J&D ENT.)",1,0,1,4.50,4.50
,"Sales Order","06/29/2020","07/29/2020","A33900","KINGS BEAUTY SUPPLY (MAULDIN SC)",1,0,1,6.00,6.00
"Total K003 (DU-RAG : RED (DZ/48 DZ))",,,,,,654,16,638,2632.00,2568.00
"K004 (DU-RAG : BLUE (DZ/48 DZ))",,,,,,,,,,
,"Sales Order","08/06/2018","09/05/2018","A30145","TEN TEN US TRADING, CORP.",12,8,4,48.00,16.00
,"Sales Order","08/06/2018","09/05/2018","A30151","HAIR DEPOT PLUS(WARREN)",2,0,2,8.00,8.00
,"Sales Order","08/06/2018","09/05/2018","A30154","KINGS BEAUTY SUPPLY (MAULDIN SC)",2,0,2,11.00,11.00
,"Sales Order","08/06/2018","09/05/2018","A30158","KINGS BEAUTY SUPPLY (MAULDIN SC)",2,0,2,11.00,11.00
,"Sales Order","08/13/2018","10/12/2018","A30198","WURI, INC.",6,0,6,24.00,24.00
,"Sales Order","08/13/2018","09/12/2018","A30207","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","08/15/2018","10/14/2018","A30214","YOUNG'S TRADING (GA)",6,0,6,24.00,24.00
"Total K004 (DU-RAG : BLUE (DZ/48 DZ))",,,,,,36,8,28,150.00,118.00
"K005 (DU-RAG : ROYAL BLUE (DZ/48 DZ))",,,,,,,,,,
,"Sales Order","04/24/2018","05/24/2018","A29676","EMPRESS BEAUTY DISTRIBUTORS",12,9,3,48.00,12.00
,"Sales Order","04/25/2018","04/25/2018","A29679","GINA'S BEAUTY SUPPLY",1,0,1,5.50,5.50
,"Sales Order","04/30/2018","05/30/2018","A29710","HAIR DEPOT PLUS(WARREN)",1,0,1,4.00,4.00
,"Sales Order","05/07/2018","06/06/2018","A29729","BELLA PANDORA GLOBAL, INC.",3,0,3,12.00,12.00
,"Sales Order","05/07/2018","07/06/2018","A29734","SUN 3 TRADING LLC.",3,0,3,12.00,12.00
,"Sales Order","05/10/2018","05/10/2018","A29755","EBS IMPORT&WHOLESALE (GA)",1,0,1,4.00,4.00
,"Sales Order","05/11/2018","06/10/2018","A29758","BEN'S (TX) BEAUTY SUPPLY DISTRIBUTOR INC.",24,0,24,96.00,96.00
,"Sales Order","05/11/2018","06/10/2018","A29760","7 DOLLAR BEAUTY SUPPLY",12,0,12,48.00,48.00
,"Sales Order","05/14/2018","06/13/2018","A29770","7 DOLLAR BEAUTY SUPPLY",12,0,12,48.00,48.00
,"Sales Order","05/15/2018","06/14/2018","A29780","BEAUTY WORLD SUPPLY (DURHAM)NC7",2,0,2,11.00,11.00
,"Sales Order","05/21/2018","05/21/2018","A29808","HAIR CROWN BEAUTY SUPPLY",3,0,3,12.00,12.00
,"Sales Order","05/21/2018","06/20/2018","A29817","HAIR DEPOT PLUS(WARREN)",1,0,1,4.00,4.00
,"Sales Order","05/24/2018","06/23/2018","A29852","EVERGREEN BEAUTY",1,0,1,5.50,5.50
,"Sales Order","05/30/2018","06/29/2018","A29869","A-1 TRADING, INC. (GA)",6,0,6,24.00,24.00
,"Sales Order","07/18/2018","08/17/2018","A30098","NOAH INTERNATIONAL CO.",6,0,6,24.00,24.00
